,x,y
58,1.6541353383458646,4.148296593186372
40,0.4887218045112781,3.3967935871743484
34,3.471177944862155,3.1462925851703405
102,3.659147869674185,2.2645290581162323
184,3.082706766917293,4.979959919839679
154,4.0852130325814535,1.2625250501002003
90,0.8270676691729323,2.374749498997996
45,3.696741854636591,1.0420841683366733
82,2.4937343358395987,3.8577154308617234
61,0.3634085213032581,1.533066132264529
115,3.3208020050125318,0.6813627254509018
63,0.9523809523809524,3.12625250501002
155,2.0426065162907268,2.985971943887776
143,1.7669172932330826,1.4829659318637274
77,1.0776942355889725,0.4509018036072144
169,4.385964912280701,1.002004008016032
85,4.298245614035087,0.5410821643286573
9,2.581453634085213,3.8276553106212425
70,1.1654135338345863,4.799599198396794
88,0.5263157894736842,1.6232464929859718
147,0.5889724310776943,3.647294589178357
0,3.609022556390977,0.0701402805611222
24,1.2406015037593985,1.87374749498998
50,2.280701754385965,3.066132264529058
126,4.573934837092732,1.7635270541082164
103,4.235588972431078,3.3967935871743484
99,0.150375939849624,4.779559118236473
161,3.345864661654135,3.597194388777555
68,0.2756892230576441,0.4909819639278557
81,3.395989974937343,0.2104208416833667
32,2.305764411027569,2.3046092184368736
120,0.112781954887218,0.8316633266533066
182,3.596491228070175,4.268537074148297
196,4.7368421052631575,1.7034068136272544
11,0.012531328320802,0.2104208416833667
187,3.9598997493734336,0.561122244488978
21,2.142857142857143,2.865731462925852
7,0.7393483709273183,3.7374749498998
93,1.4160401002506264,4.869739478957916
150,1.6541353383458646,3.657314629258517
166,1.8295739348370923,3.937875751503006
42,3.245614035087719,3.75751503006012
86,4.185463659147869,1.032064128256513
2,3.834586466165413,4.368737474949899
46,2.355889724310777,4.478957915831663
167,0.7393483709273183,2.074148296593186
62,3.308270676691729,4.168336673346693
145,1.2406015037593985,2.6452905811623246
104,3.395989974937343,3.987975951903808
92,0.5889724310776943,2.1142284569138274
122,3.107769423558897,3.4869739478957915
160,3.659147869674185,4.408817635270541
127,1.1403508771929824,1.7635270541082164
195,4.047619047619048,4.779559118236473
135,4.987468671679197,3.0861723446893787
87,2.807017543859649,2.5751503006012024
