,x,y
58,1.6541353383458646,4.148296593186372
40,0.4887218045112781,3.3967935871743484
34,3.471177944862155,3.1462925851703405
102,3.659147869674185,2.2645290581162323
184,3.082706766917293,4.979959919839679
11,0.012531328320802,0.2104208416833667
23,0.7518796992481203,0.0100200400801603
131,4.987468671679197,0.0601202404809619
68,0.2756892230576441,0.4909819639278557
121,1.1278195488721805,0.1302605210420841
27,1.3659147869674184,0.0601202404809619
8,0.9774436090225564,0.220440881763527
179,1.8546365914786969,0.0
54,0.3759398496240601,0.6012024048096192
171,0.9147869674185464,0.3607214428857715
176,4.824561403508771,4.599198396793587
148,0.112781954887218,4.889779559118236
142,4.223057644110275,4.929859719438878
105,4.87468671679198,3.657314629258517
99,0.150375939849624,4.779559118236473
135,4.987468671679197,3.0861723446893787
57,4.8621553884711775,3.346693386773547
125,4.8621553884711775,3.246492985971944
198,0.112781954887218,4.599198396793587
195,4.047619047619048,4.779559118236473
100,3.9724310776942353,0.0100200400801603
0,3.609022556390977,0.0701402805611222
181,4.285714285714286,0.1402805611222445
113,4.987468671679197,0.751503006012024
12,4.887218045112782,0.9819639278557114
111,4.335839598997493,0.250501002004008
85,4.298245614035087,0.5410821643286573
128,4.68671679197995,0.7715430861723447
108,4.172932330827067,0.6212424849699398
187,3.9598997493734336,0.561122244488978
149,0.100250626566416,2.4048096192384767
75,0.137844611528822,2.625250501002004
93,1.4160401002506264,4.869739478957916
13,0.2882205513784461,2.665330661322645
138,0.075187969924812,2.995991983967936
70,1.1654135338345863,4.799599198396794
134,0.2506265664160401,2.865731462925852
185,2.4310776942355887,4.969939879759519
52,0.6140350877192982,2.354709418837676
51,0.012531328320802,1.653306613226453
22,2.907268170426065,3.9579158316633274
80,4.912280701754385,2.1843687374749496
9,2.581453634085213,3.8276553106212425
44,2.969924812030075,3.8076152304609217
17,2.518796992481203,3.376753507014028
197,2.4937343358395987,3.3366733466933867
62,3.308270676691729,4.168336673346693
50,2.280701754385965,3.066132264529058
158,2.280701754385965,2.695390781563126
129,3.1203007518796992,4.288577154308617
117,2.3684210526315788,1.3026052104208417
157,2.0300751879699246,1.0721442885771542
133,2.744360902255639,1.2324649298597194
43,2.468671679197995,1.4128256513026052
194,2.418546365914787,1.533066132264529
3,0.112781954887218,4.008016032064128
143,1.7669172932330826,1.4829659318637274
10,2.832080200501253,1.4629258517034067
73,3.082706766917293,0.3206412825651302
98,1.6791979949874687,1.4629258517034067
